[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] 
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] *****************************************
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] *****************************************

=====================
DDP

=====================
DDP


====================================
DDP


====================================
DDP
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False

Gradient accumulation steps needed with B: 16 and T: 1024 for total batch size: 524288 = 16
total params: 124475904
loaded len : 338025
loaded len : 338025
step : 92 | loss: 4.625673770904541 | lr: 0.0005996 | dt: 2596.30 ms | tokens/sec: 201_936.740707 | norm: 1.01
step : 93 | loss: 4.613494396209717 | lr: 0.0005996 | dt: 2599.48 ms | tokens/sec: 201_689.464387 | norm: 1.30
step : 94 | loss: 4.596883773803711 | lr: 0.0005996 | dt: 2593.88 ms | tokens/sec: 202_125.378319 | norm: 1.25
step : 95 | loss: 4.576940536499023 | lr: 0.0005996 | dt: 2597.51 ms | tokens/sec: 201_842.526086 | norm: 0.69
step : 96 | loss: 4.54551887512207 | lr: 0.0005996 | dt: 2596.84 ms | tokens/sec: 201_894.636311 | norm: 0.83
step : 97 | loss: 4.544377326965332 | lr: 0.0005996 | dt: 2597.60 ms | tokens/sec: 201_835.245399 | norm: 1.82
step : 98 | loss: 4.52232551574707 | lr: 0.0005996 | dt: 2588.41 ms | tokens/sec: 202_551.967115 | norm: 1.37
step : 99 | loss: 4.50290584564209 | lr: 0.0005996 | dt: 2599.95 ms | tokens/sec: 201_652.899475 | norm: 1.27
step : 100 | loss: 4.481143951416016 | lr: 0.0005996 | dt: 2594.51 ms | tokens/sec: 202_076.157145 | norm: 1.59
step : 101 | loss: 4.463927745819092 | lr: 0.0005996 | dt: 2599.92 ms | tokens/sec: 201_655.562329 | norm: 1.45
step : 102 | loss: 4.463397979736328 | lr: 0.0005996 | dt: 2597.96 ms | tokens/sec: 201_807.516902 | norm: 2.51
step : 103 | loss: 4.438662052154541 | lr: 0.0005995 | dt: 2600.29 ms | tokens/sec: 201_626.884873 | norm: 1.08
